SL,HHNO,HOUSING_TYPE,HH_INCOME,BUSINESS_P_NO,EMPLOYED_P_NO,UNEMPLOYED_P_NO,CAR_OWN,MC_OWN
3140,1130,3,4,0,1,3,0,0
3144,1131,3,4,1,0,2,0,0
3147,1132,1,2,0,2,3,0,0
3152,1133,1,3,1,0,3,0,0
3156,1134,3,4,1,1,1,0,1
3159,1135,3,4,1,0,3,1,1
3163,1136,3,3,1,0,1,0,1
3165,1137,2,2,1,0,1,0,0
3167,1138,3,3,1,1,1,0,1
3170,1139,2,3,0,1,3,0,0
3174,1140,1,2,1,0,2,0,0
3177,1141,3,4,0,3,2,0,0
3182,1142,2,2,1,0,2,0,0
3185,1143,2,3,0,1,1,0,0
3187,1144,3,4,1,0,2,0,1
3190,1145,2,3,1,0,3,0,0
3194,1146,1,2,1,0,2,0,0
3197,1147,2,2,1,0,1,0,1
3199,1148,3,3,1,0,1,0,1
3201,1149,2,3,1,0,2,0,1
3204,1150,2,2,1,0,2,0,1
3207,1151,1,2,1,0,2,0,0
3210,1152,2,3,1,0,1,0,1
3212,1153,2,2,0,1,2,0,0
3215,1154,2,2,1,0,2,0,1
3218,1155,3,4,1,0,1,1,1
3220,1156,2,2,1,0,2,0,0
3223,1157,1,2,1,0,1,0,0
3225,1158,2,2,0,1,2,0,0
3228,1159,3,4,2,0,1,1,1
3231,1160,3,4,1,0,2,1,0
3234,1161,2,2,0,1,2,0,0
3237,1162,1,2,1,0,1,0,0
3239,1163,3,4,1,0,2,0,0
3242,1164,1,1,0,1,1,0,0
3244,1165,2,2,0,1,2,0,0
3247,1166,2,3,0,1,1,0,1
3249,1167,2,2,0,1,2,0,0
3252,1168,1,2,0,1,2,0,0
3255,1169,2,2,0,1,2,0,0
3258,1170,2,2,1,0,2,0,0
3261,1171,1,2,0,1,1,0,0
3263,1172,2,2,0,2,1,0,0
3266,1173,1,1,1,1,0,0,0
3268,1174,1,2,1,0,2,0,0
3271,1175,2,3,1,0,3,0,0
3275,1176,3,4,2,0,2,1,1
3279,1177,2,3,1,0,1,0,1
3281,1178,2,2,0,1,1,0,0
3283,1179,2,1,0,1,2,0,0
3286,1180,2,2,0,1,2,0,0
3289,1181,2,2,0,2,1,0,0
3292,1182,2,2,0,1,2,0,0
3295,1183,2,2,1,0,2,0,0
3298,1184,3,3,1,0,1,0,0
3300,1185,3,4,2,0,2,0,1
3304,1186,3,3,1,0,2,0,1
3307,1187,3,4,1,1,1,0,1
3310,1188,3,4,2,0,2,1,1
3314,1189,3,4,1,1,2,0,0
3318,1190,2,2,0,1,1,0,0
3320,1191,1,1,1,0,3,0,0
3324,1192,1,3,1,0,2,0,0
3327,1193,2,2,1,0,2,0,0
3330,1194,1,2,0,1,2,0,0
3333,1195,2,2,0,1,2,0,0
3336,1196,1,1,0,1,1,0,0
3338,1197,2,1,0,1,1,0,0
3340,1198,3,3,0,1,2,0,1
3343,1199,2,2,1,0,1,0,0
3345,1200,2,2,0,1,2,0,1
3348,1201,2,2,1,0,2,0,0
3351,1202,2,2,0,2,1,0,0
3354,1203,1,1,1,0,1,0,0
3356,1204,1,1,1,0,1,0,0
3358,1205,2,2,0,1,1,0,0
3360,1206,3,3,1,0,1,0,1
3362,1207,2,2,1,0,2,0,0
3365,1208,2,2,0,1,2,0,0
3368,1209,3,2,0,1,1,0,1
3370,1210,2,3,1,0,1,0,0
3372,1211,1,1,0,2,1,0,0
3375,1212,1,2,0,1,1,0,0
3377,1213,2,1,0,1,1,0,0
3379,1214,2,2,0,1,1,0,0
3381,1215,2,1,0,1,2,0,0
3384,1216,2,2,0,1,2,0,0
3387,1217,3,3,1,0,2,0,1
3390,1218,1,1,1,0,2,0,0
3393,1219,2,1,0,1,1,0,0
3395,1220,1,1,0,1,1,0,0
3397,1221,1,1,2,0,1,0,0
3400,1222,3,4,1,0,2,0,1
3403,1223,1,1,1,0,1,0,0
3405,1224,1,2,0,1,2,0,0
3408,1225,3,2,0,1,2,0,0
3411,1226,3,3,1,0,3,0,0
